V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
-0.187854643,-0.0310952,0.178634047,0.03265611,0.075957646,-0.145325896,-0.252845188,0.034909472,-0.097056554,-0.192317058,-0.181035486,-0.106028596,0.185672014,0.144315378,-0.140650584,-0.261469313,0.081051762,0.031175186,-0.394998419,-0.075793222,-0.220900737,0.447043416,-0.170572606,-0.097975587,0.220705348,0.026899695,0.044298265,0.079184314,0.124190572
0.269922421,-0.259500061,-0.080621246,-0.143283131,-0.093804347,0.073850251,0.119089434,-0.042586558,0.025689965,0.172289307,-0.079589314,-0.287631395,0.103885525,0.049219498,0.018768082,0.262879742,-0.265027244,0.140855681,0.067443989,0.038459044,0.058122104,0.040863631,-0.044573839,0.103323201,0.232833664,0.049057231,-0.15262861,0.031662476,-0.042270678
-0.362848227,0.277268536,-0.016922974,-0.237905257,-0.037020277,0.19343529,-0.129116001,0.094469276,0.180871599,0.055978847,0.136129323,0.09707743,0.150711173,0.029844264,0.372886605,0.1224616,-0.134248861,-0.247800264,-0.379090687,-0.1946635,0.100582425,0.143879022,-0.144858817,0.118228468,0.002970355,-0.041162963,-0.097689078,-0.122933568,0.036743883
-0.090603249,-0.411760872,-0.430705171,0.049698701,0.491499435,0.167924344,0.044502112,-0.001298392,0.007261746,-0.210054918,0.053443445,0.014169815,0.215430476,0.142388724,-0.28388967,0.280766247,-0.119817936,-0.424974949,0.157833537,-0.067047016,-0.040910576,-0.293796547,0.370637984,-0.216369984,-0.332914681,0.011372332,-0.23715526,0.181859206,-0.069652795
0.133941778,0.177824542,-0.205401637,0.014339087,0.122916195,0.056497568,0.032094484,0.015852999,0.243319224,0.021027537,0.15696731,0.127696434,0.033731676,0.156013859,-0.332835033,0.064633495,-0.208454027,-0.030507031,-0.128295018,-0.115495097,0.12845256,0.020809076,-0.309467122,0.20124975,0.13975987,-0.001879144,0.097616253,-0.082744904,-0.194093199
-0.017398216,0.256776805,-0.004104387,0.410298533,0.181958561,0.253190239,0.133544796,0.171600046,0.297289977,0.026107556,0.087593577,0.026798984,-0.50934995,0.028192156,0.339054173,0.12927123,0.112161346,-0.044661812,-0.047807657,0.229977466,0.151189169,0.128423334,-0.120459209,0.11277114,-0.065079201,-0.009786894,-0.022900219,0.478366147,-0.495010407
0.383910455,-0.219187301,0.188106022,0.48192891,0.172886819,-0.024929642,-0.126514231,0.198410906,-0.300420107,0.118156976,-0.283392007,0.004425853,-0.184601003,0.104885023,-0.28739497,0.149913571,-0.171252359,-0.009701193,-0.253589053,0.308776408,0.294484684,0.029836402,0.005998969,0.18200849,-0.179325155,-0.140559327,-0.046244785,0.226349832,0.149908472
0.415433539,0.170104993,0.012640519,0.048526031,-0.443384986,-0.158038646,-0.127242252,0.003458759,-0.120303368,-0.024531161,-0.120303924,0.168670021,0.35897081,-0.185057543,0.064073174,-0.064494472,0.300831359,-0.054516635,0.03040228,-0.149889304,0.200915411,0.150428038,-0.358218725,0.316576163,-0.044095534,0.093304898,-0.107487732,-0.19117629,0.287119216
0.103219142,-0.071996257,-0.053526049,0.469999361,0.474211927,-0.24183111,0.146743143,0.142986759,0.249331915,0.218326907,0.12134072,-0.068492564,-0.220527658,0.015959143,0.023384255,0.061879781,-0.355441991,-0.03473107,0.129447136,0.321853377,-0.37293218,0.046949321,-0.25794815,-0.363692696,0.125374096,0.05689827,0.166280267,0.386928948,-0.442260893
0.174927911,-0.07318392,0.296149134,-0.304500371,0.326469975,-0.016152151,-0.068631762,-0.074668179,-0.03582314,0.202147697,0.327559874,-0.015285644,-0.006866673,-0.052559551,0.20749929,-0.110554624,0.297772091,0.049500401,-0.354936187,-0.295154924,-0.15589744,0.157198472,0.107265335,-0.208048386,-0.195738084,0.064567196,0.154885904,0.205982702,0.115739604
-0.269403199,0.411447859,0.121549142,0.274332088,-0.381825129,-0.330049671,-0.059639581,0.079657202,-0.081525329,0.155065947,-0.148161862,0.102533721,-0.286218006,0.21224031,-0.112359451,0.032106894,0.017971203,-0.114106596,0.078071089,-0.26695193,0.313086003,-0.197128118,0.098407163,0.003904914,-0.040311843,-0.054457825,-0.048310397,-0.011792831,0.077763685
-0.439323899,-0.312662467,0.011500988,0.316889565,-0.17214222,-0.212563447,0.097330073,0.074134496,-0.417258428,-0.305665043,-0.054154147,-0.090773799,-0.344224328,-0.205295805,0.003985388,-0.322200542,0.177745442,-0.168101314,-0.027538076,-0.422072493,-0.406192021,0.090949324,0.188718817,0.036769438,0.098339893,-0.027602745,-0.021796304,-0.169753368,-0.181097972
-0.01636042,-0.064149695,0.223184247,-0.493424337,-0.102540079,-0.322627631,-0.030167979,-0.126826998,0.026231085,-0.239616065,0.014822745,-0.067276504,0.478524822,-0.32377364,0.102551552,0.56257271,-0.268892349,0.15203141,-0.054292287,-0.150566284,-0.106515193,0.195511223,-0.026074143,0.295483112,-0.051984186,-0.034017861,-0.191770064,0.414303944,-0.414638824
-0.336852105,-0.094633479,0.064830478,-0.30938889,0.485641419,-0.130132437,-0.321252944,-0.295830915,-0.068204216,0.286499046,0.216854334,-0.131195677,-0.22088685,-0.189581147,-0.190698101,0.04664177,0.112972786,-0.057031558,0.25703219,-0.274650144,0.052631054,0.035673884,-0.207691561,-0.181555122,-0.159765648,-0.185304781,0.171331531,0.040706612,-0.255182544
0.153724272,0.106595874,0.026315707,-0.017399402,0.610529174,0.567406016,-0.047185114,0.022476348,-0.013907586,0.062672529,-0.053437496,-0.014097701,-0.372882162,0.035773822,-0.051520081,-0.341319283,-0.115222449,0.033815407,0.205946167,0.11461918,0.262247469,-0.013395651,-0.362000207,0.041159912,0.079642682,0.0556608,-0.132697835,-0.032551883,-0.383247948
0.094847918,0.014600115,-0.178262433,-0.224922529,0.02847359,-0.132085005,0.04721196,-0.093905358,0.035018769,0.01082751,-0.129191202,0.11267767,-0.082821388,0.241887277,-0.139896057,0.228617955,-0.343413855,-0.046724501,-0.135247493,-0.246231726,-0.24688471,0.033607932,-0.089734145,-0.178279782,-0.200196007,0.245631101,0.057486119,-0.047296431,0.333015245
-0.089179604,0.097448887,-0.243768853,-0.25361403,-0.447030233,-0.099268655,-0.093450902,-0.148778587,-0.11009879,0.061575959,0.067868831,-0.048445005,0.036212098,-0.239666332,-0.239735322,-0.423208457,-0.123890673,0.073586048,0.03501654,-0.196624861,-0.350937737,-0.091909305,0.177966507,-0.013839661,-0.262097648,-0.126963346,-0.033874281,0.100169676,-0.314456505
-0.003467223,-0.026854756,-0.038086177,-0.340079594,-0.095426405,0.055180346,-0.062304001,-0.047731429,0.043985869,-0.140614436,-0.252800215,-0.332589925,-0.02914585,0.213917291,0.192252132,-0.041775238,0.131618587,0.310362218,0.145644883,0.106211481,-0.086556967,0.069776653,0.067384263,0.173120883,0.09677104,-0.145066913,0.058999815,-0.089288591,0.406185204
0.111411981,0.171072814,0.071006154,0.436095878,0.084894777,0.159770521,-0.056647226,0.280051602,0.00421014,-0.179000884,0.070250857,0.027970447,0.128704469,0.306299701,0.103408705,-0.327031017,-0.353793784,0.338495464,0.244649167,0.066484407,-0.027815069,-0.034046426,-0.177715042,-0.019087574,0.235267633,-0.058109426,-0.049459316,0.198563994,-0.082436313
-0.46573487,-0.259732938,-0.265575759,-0.027293276,-0.405786656,0.098977853,0.053706476,0.202463156,-0.07303141,-0.074834074,0.064195016,-0.056032878,0.05178338,-0.010262266,0.093230641,0.009152051,0.259660382,-0.280581102,-0.043549742,-0.218331406,0.030803246,-0.21309323,0.145140343,0.133158164,-0.091657342,-0.010667867,-0.242614841,-0.25535712,-0.100066574
-0.252376506,-0.012795243,-0.338724751,-0.188779612,0.290330364,0.176295822,-0.077214563,0.127636437,0.158986303,0.354384773,0.365269461,0.078266544,-0.271547778,0.002892475,-0.26930732,-0.016384897,0.190798344,-0.141953349,0.042462308,-0.160898138,0.121327469,-0.262756429,-0.118393563,0.035841368,0.087825577,0.081232087,-0.152077176,-0.07583486,0.372324898
-0.2742323,0.057834173,-0.025348021,-0.271525044,-0.356828127,0.347254837,-0.123524339,-0.065092673,0.276948366,-0.199415364,-0.207672948,-0.027359061,0.123581118,-0.140410973,-0.152988942,0.011618856,-0.244705551,-0.099152383,-0.135856402,-0.006567376,-0.225058,-0.200552077,0.217989078,0.010582717,-0.198254552,-0.079911578,-0.287092648,0.064772831,0.081067003
0.305190087,0.228923705,-0.1198224,-0.341560959,0.382555228,0.339775672,0.047140375,-0.13444986,0.249030528,-0.376028061,-0.302597157,-0.209326926,0.464050725,-0.186721352,-0.159610031,0.064029327,0.194387403,-0.004716974,0.099012963,0.028807023,0.206217329,-0.051039058,-0.219276778,-0.286788803,0.024217079,0.103568493,0.416610742,0.292010724,0.168985347
-0.478247463,-0.036981743,-0.039052903,-0.557960637,-0.400980051,-0.005497136,-0.012489969,-0.078701527,-0.336575688,0.089142535,-0.110519523,-0.070860767,0.096056627,-0.20151435,0.07771092,-0.108054123,0.035716518,-0.228041224,0.002345641,0.02568899,-0.355895646,-0.007649446,-0.318324844,-0.056234131,-0.135725516,-0.163175002,-0.289315858,-0.250789109,-0.162735017
-0.336212294,-0.252155922,0.036670903,-0.086353986,0.107787894,-0.042820897,0.041677125,-0.220500468,0.017107673,0.386556182,0.119512611,-0.154276925,0.003147515,0.359400858,-0.094547335,0.041729818,-0.032756219,-0.207123783,-0.298493027,-0.279739741,-0.032185712,-0.035418592,-0.210641514,0.098999889,-0.079998189,-0.08912098,-0.027240923,-0.270256364,-0.024266728
0.222961115,0.381087053,0.087725499,0.08360888,-0.153319024,0.137898187,-0.064330282,-0.2087412,-0.233176586,-0.192621359,0.122812171,-0.330603808,0.087181045,0.042635399,-0.003842153,-0.173369469,-0.338401091,0.32940685,-0.334183152,0.101876454,0.333818216,0.146026422,-0.361850295,-0.02137615,0.24859277,-0.023508465,-0.165490739,-0.069284574,0.122526167
0.075647558,0.093852396,0.152247421,0.120093992,-0.114926704,-0.032348659,0.112205729,-0.261839336,0.045881209,-0.193121807,-0.076112991,0.036451032,0.24248041,-0.342812872,-0.310567891,-0.062224881,-0.232238106,-0.23008733,0.333277402,0.079748764,-0.076435033,0.049497888,0.076117127,-0.004005929,-0.12685289,-0.023287422,0.042638349,-0.198987126,-0.313730865
-0.364540829,-0.409581465,0.153781569,0.15327578,-0.243492785,0.20849545,-0.125088952,-0.116207091,0.270154743,0.14713329,-0.02634628,-0.041588935,-0.618327343,-0.370058456,0.147097354,0.422806815,-0.075580512,-0.030727044,0.150322841,0.057599991,-0.11560402,0.159803799,-0.032566906,0.013109769,-0.181278097,0.178826049,-0.039748506,0.02603885,0.052697938
0.229449589,-0.2144719,-0.184210476,-0.263378461,-0.062078975,0.112579683,0.064811206,-0.132497522,-0.202624853,-0.203771094,-0.091999704,0.186533972,0.316724964,0.188416225,-0.106910428,-0.05682887,0.196782456,-0.161151278,-0.479278899,-0.250095585,-0.035641241,-0.089516168,-0.094802818,-0.350513131,-0.015089145,-0.077530614,-0.554779513,-0.195274825,0.24352887
-0.267710792,0.350583952,-0.165122324,-0.11736792,-0.237526707,-0.063515015,0.017418191,-0.101879564,0.102931713,0.162064932,-0.137310437,-0.297040108,0.266550076,-0.063579331,0.108263321,-0.026986976,0.140386578,0.145219963,0.112950201,-0.031879015,-0.205566805,-0.102239101,0.129402043,-0.172803495,0.227603697,-0.2846778,0.361701086,-0.091660285,0.018676423
0.126036696,0.093714237,-0.31952239,-0.478695923,-0.048988424,-0.017617023,-0.071100555,0.119051131,-0.148241301,-0.094796723,-0.330451816,0.051037501,-0.385596011,0.172187183,-0.123277077,-0.379200494,-0.16183274,-0.122977274,-0.093358718,-0.195285803,-0.068401947,0.082678754,0.031894835,-0.335430764,-0.033248638,0.081655452,0.142256602,-0.417269742,0.191408346
0.169800333,-0.042779115,0.248225061,0.308208247,-0.231642913,-0.02004647,0.174415704,-0.060961956,-0.205974469,0.040369871,-0.281745131,-0.16852143,-0.194156629,-0.074503518,-0.108917949,-0.163618479,0.135727209,-0.183089455,0.083750172,0.276723297,-0.07105992,-0.112740118,0.277764931,0.155390927,-0.053852678,0.027033385,-0.0176991,0.004203673,0.431991383
-0.200682591,0.110216976,-0.139454423,0.070220515,0.210406084,-0.026653671,-0.047364837,-0.095899849,0.202964126,-0.107635032,0.162324375,-0.041156876,-0.245624707,0.211839244,0.122062662,0.027014046,0.330162454,-0.146221226,0.111460333,0.059718977,-0.205710395,0.075258036,-0.123056618,0.382129194,0.099608918,0.00517754,-0.119330343,-0.346454863,0.022241351
-0.415537036,0.161913398,0.232570341,-0.161200869,-0.344033735,-0.123016601,-0.104674523,-0.022404026,-0.081517377,-0.062049392,0.107727511,-0.073065497,0.385334266,0.036844424,-0.010125164,-0.281396208,0.102147116,-0.183625739,-0.157355347,-0.016973178,0.271199269,-0.114009095,0.041808955,-0.003855108,-0.103357128,-0.151724049,0.410886921,-0.088745569,-0.360239435
-0.024312052,-0.05371784,-0.303114069,-0.256161637,0.37601747,-0.199940461,-0.130550903,0.157313269,-0.007455894,0.431529531,0.192223883,0.152503542,-0.027354443,-0.029091109,0.075613685,0.05962091,0.139004901,-0.154839795,-0.20552644,0.491127508,0.004726184,0.391187136,0.128369499,-0.100845081,-0.005332551,-0.027502442,0.12193397,0.310704628,-0.402102556
0.054665889,0.05438078,0.107473096,0.144344807,-0.271068205,-0.126580912,0.016511794,-0.01923418,-0.087688807,-0.164691047,0.134032445,0.030179582,-0.500193055,0.102770397,-0.418079974,0.072531583,0.191510267,0.175319284,-0.276859325,0.094444006,0.062142368,0.132190672,-0.05831948,0.024763197,0.054494555,0.004697533,-0.194760859,-0.016730871,-0.336585159
0.26485912,0.262949697,0.287664375,-0.175874367,0.485168039,0.080075787,0.091244999,-0.145985596,-0.056161949,0.103416387,0.17574773,-0.089751452,-0.283774136,-0.242057047,0.190592274,0.126886353,-0.504159896,0.098245954,-0.03611912,0.414222638,0.019577654,-0.101577309,-0.324058778,-0.308395504,-0.141170869,0.102226671,0.004229983,0.325884333,0.069923288
-0.173765065,-0.364540452,-0.070247631,0.393264977,-0.142527833,0.058468821,-0.031142,-0.189526206,-0.176736055,0.120460802,-0.029762013,0.248953542,0.245781905,-0.011739646,-0.029211415,-0.019718502,-0.380611153,0.104740111,-0.002967472,-0.186379332,-0.222794753,-0.236474898,0.071768948,-0.152470137,-0.101757214,-0.059441425,0.171085022,0.146952501,0.264554232
-0.43419957,-0.167310017,0.126620685,-0.417785421,-0.467724169,-0.090417001,-0.077896611,0.214740497,-0.000985894,-0.371233091,-0.127504187,0.026813557,-0.136518647,-0.088101446,-0.120804337,-0.233301628,0.097671132,0.052284677,-0.159946323,-0.271659508,-0.351546336,0.085452145,0.025671826,0.050672211,-0.13293709,-0.085352549,-0.137217147,0.125742089,0.110865172
-0.055963349,0.139748247,-0.240002977,0.253196193,0.04273024,-0.35843324,0.14825222,-0.241107334,0.178506389,-0.254872645,-0.092169499,0.029273684,-0.086402243,-0.361888811,-0.1744729,0.25930727,-0.360528861,0.01827815,-0.080026493,0.020073694,0.210555414,-0.143307741,0.067377519,0.241911637,-0.02784633,0.0158028,0.394085938,-0.05072095,-0.271758674
